File,ErrorCode,Message
11-520-NotExistingName.csv,11-520,Reference Name in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv not existing. See 11-520-NotExistingName.csv for details
11-521-MissColumnName.csv,11-521,Missing Mandatory Columns Name in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. Open 11-521-MissColumnName.csv for details
11-522-QuantityWrongType.csv,11-522,Incorrect type for Quantity in asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. See 11-522-QuantityWrongType.csv for details
11-521-MissColumnEquipmentGroupBudgetCategories.csv,11-521,Missing Mandatory Columns EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. Open 11-521-MissColumnEquipmentGroupBudgetCategories.csv for details
11-521-MissColumnIndexBudgetCategories.csv,11-521,Missing Mandatory Columns Index in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. Open 11-521-MissColumnIndexBudgetCategories.csv for details
11-521-MissColumnValueBudgetCategories.csv,11-521,Missing Mandatory Columns Value in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. Open 11-521-MissColumnValueBudgetCategories.csv for details
11-520-NotExistingEquipmentGroupBudgetCategories.csv,11-520,Reference EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv not existing. See 11-520-NotExistingEquipmentGroupBudgetCategories.csv for details
11-521-MissColumnEquipmentGroupHRCategories.csv,11-521,Missing Mandatory Columns EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. Open 11-521-MissColumnEquipmentGroupHRCategories.csv for details
11-521-MissColumnIndexHRCategories.csv,11-521,Missing Mandatory Columns Index in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. Open 11-521-MissColumnIndexHRCategories.csv for details
11-521-MissColumnValueHRCategories.csv,11-521,Missing Mandatory Columns Value in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv. Open 11-521-MissColumnValueHRCategories.csv for details
11-520-NotExistingEquipmentGroupHRCategories.csv,11-520,Reference EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Update/EquipmentGroups.csv not existing. See 11-520-NotExistingEquipmentGroupHRCategories.csv for details
