File,ErrorCode,Message
1-120-NotUniqueName.csv,1-120,Similar values for Name are used in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-120-NotUniqueName.csv for details
1-120-AlreadyExistName.csv,1-120,Name have already used value in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-120-AlreadyExistName.csv for details
1-121-MissColumnName.csv,1-121,Missing Mandatory Columns Name in file asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. Open 1-121-MissColumnName.csv for details
1-123-AgingMethodologyInvalidRange.csv,1-123,Incorrect range for AgingMethodology in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-123-AgingMethodologyInvalidRange.csv for details
1-122-MinimalAgeWrongType.csv,1-122,Incorrect type for MinimalAge in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-122-MinimalAgeWrongType.csv for details
1-122-MaximalAgeWrongType.csv,1-122,Incorrect type for MaximalAge in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-122-MaximalAgeWrongType.csv for details
1-122-FailureRateAtMinimalAgeWrongType.csv,1-122,Incorrect type for FailureRateAtMinimalAge in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-122-FailureRateAtMinimalAgeWrongType.csv for details
1-122-FailureRateAtMaximalAgeWrongType.csv,1-122,Incorrect type for FailureRateAtMaximalAge in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-122-FailureRateAtMaximalAgeWrongType.csv for details
1-122-ExternalFailureRatePerYearWrongType.csv,1-122,Incorrect type for ExternalFailureRatePerYear in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-122-ExternalFailureRatePerYearWrongType.csv for details
1-123-ExternalFailureRatePerYearInvalidRange.csv,1-123,Incorrect range for ExternalFailureRatePerYear in asset-integration-accelerator-input/AssetPortfolio/Create/AgingFamilies.csv. See 1-123-ExternalFailureRatePerYearInvalidRange.csv for details
