File,ErrorCode,Message
1-520-NotExistingName.csv,1-520,Reference Name in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv not existing. See 1-520-NotExistingName.csv for details
1-521-MissColumnName.csv,1-521,Missing Mandatory Columns Name in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnName.csv for details
1-523-AgingMethodologyInvalidRange.csv,1-523,Incorrect range for AgingMethodology in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-523-AgingMethodologyInvalidRange.csv for details
1-522-MinimalAgeWrongType.csv,1-522,Incorrect type for MinimalAge in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-MinimalAgeWrongType.csv for details
1-522-MaximalAgeWrongType.csv,1-522,Incorrect type for MaximalAge in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-MaximalAgeWrongType.csv for details
1-522-FailureRateAtMinimalAgeWrongType.csv,1-522,Incorrect type for FailureRateAtMinimalAge in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-FailureRateAtMinimalAgeWrongType.csv for details
1-522-FailureRateAtMaximalAgeWrongType.csv,1-522,Incorrect type for FailureRateAtMaximalAge in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-FailureRateAtMaximalAgeWrongType.csv for details
1-522-ExternalFailureRatePerYearWrongType.csv,1-522,Incorrect type for ExternalFailureRatePerYear in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-ExternalFailureRatePerYearWrongType.csv for details
1-523-ExternalFailureRatePerYearInvalidRange.csv,1-523,Incorrect range for ExternalFailureRatePerYear in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-523-ExternalFailureRatePerYearInvalidRange.csv for details
1-522-IsQuantityDiscreteWrongType.csv,1-522,Incorrect type for IsQuantityDiscrete in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-IsQuantityDiscreteWrongType.csv for details
1-522-GFlagWrongType.csv,1-522,Incorrect type for GFlag in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-GFlagWrongType.csv for details
1-522-AgingFailureDelayWrongType.csv,1-522,Incorrect type for AgingFailureDelay in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-AgingFailureDelayWrongType.csv for details
1-521-MissColumnAgingFamilyFamilyPairHillParameters.csv,1-521,Missing Mandatory Columns AgingFamily in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnAgingFamilyFamilyPairHillParameters.csv for details
1-521-MissColumnAgentAgingFamilyFamilyPairHillParameters.csv,1-521,Missing Mandatory Columns AgentAgingFamily in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnAgentAgingFamilyFamilyPairHillParameters.csv for details
1-521-MissColumnHillParametersFamilyPairHillParameters.csv,1-521,Missing Mandatory Columns HillParameters in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnHillParametersFamilyPairHillParameters.csv for details
1-521-MissColumnValueFamilyPairHillParameters.csv,1-521,Missing Mandatory Columns Value in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnValueFamilyPairHillParameters.csv for details
1-520-NotExistingAgingFamilyFamilyPairHillParameters.csv,1-520,Reference AgingFamily in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv not existing. See 1-520-NotExistingAgingFamilyFamilyPairHillParameters.csv for details
1-523-HillParametersFamilyPairHillParametersInvalidRange.csv,1-523,Incorrect range for HillParametersFamilyPairHillParameters in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-523-HillParametersFamilyPairHillParametersInvalidRange.csv for details
1-522-AmplitudeHillWrongType.csv,1-522,Incorrect type for AmplitudeHill in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-AmplitudeHillWrongType.csv for details
1-522-OffsetHillWrongType.csv,1-522,Incorrect type for OffsetHill in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-OffsetHillWrongType.csv for details
1-522-SlopeHillWrongType.csv,1-522,Incorrect type for SlopeHill in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-SlopeHillWrongType.csv for details
1-522-IsFailureTransmittedWrongType.csv,1-522,Incorrect type for IsFailureTransmitted in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-IsFailureTransmittedWrongType.csv for details
1-522-IsCouplingActiveWrongType.csv,1-522,Incorrect type for IsCouplingActive in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-IsCouplingActiveWrongType.csv for details
1-522-IsAgingAfterDeathWrongType.csv,1-522,Incorrect type for IsAgingAfterDeath in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-IsAgingAfterDeathWrongType.csv for details
1-522-MaintenanceIfOutOfOrderWrongType.csv,1-522,Incorrect type for MaintenanceIfOutOfOrder in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-MaintenanceIfOutOfOrderWrongType.csv for details
1-522-ShapeWrongType.csv,1-522,Incorrect type for Shape in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-ShapeWrongType.csv for details
1-522-ScaleWrongType.csv,1-522,Incorrect type for Scale in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-ScaleWrongType.csv for details
1-522-ExpectedLifeWrongType.csv,1-522,Incorrect type for ExpectedLife in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-ExpectedLifeWrongType.csv for details
1-522-FinancialCostOfFailureWrongType.csv,1-522,Incorrect type for FinancialCostOfFailure in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-FinancialCostOfFailureWrongType.csv for details
1-522-EnvironmentalCostOfFailureWrongType.csv,1-522,Incorrect type for EnvironmentalCostOfFailure in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-EnvironmentalCostOfFailureWrongType.csv for details
1-522-NetworkCostOfFailureWrongType.csv,1-522,Incorrect type for NetworkCostOfFailure in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-NetworkCostOfFailureWrongType.csv for details
1-521-MissColumnAgingFamilyMapReferenceCostOfFailure.csv,1-521,Missing Mandatory Columns AgingFamily in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnAgingFamilyMapReferenceCostOfFailure.csv for details
1-521-MissColumnHealthIndexMapReferenceCostOfFailure.csv,1-521,Missing Mandatory Columns HealthIndex in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnHealthIndexMapReferenceCostOfFailure.csv for details
1-521-MissColumnValueMapReferenceCostOfFailure.csv,1-521,Missing Mandatory Columns Value in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. Open 1-521-MissColumnValueMapReferenceCostOfFailure.csv for details
1-520-NotExistingAgingFamilyMapReferenceCostOfFailure.csv,1-520,Reference AgingFamily in file asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv not existing. See 1-520-NotExistingAgingFamilyMapReferenceCostOfFailure.csv for details
1-522-MapReferenceCostOfFailureValueWrongType.csv,1-522,Incorrect type for MapReferenceCostOfFailureValue in asset-integration-accelerator-input/AssetPortfolio/Update/AgingFamilies.csv. See 1-522-MapReferenceCostOfFailureValueWrongType.csv for details
