File,ErrorCode,Message
2-110-NotUniqueName.csv,2-110,Similar values for Name are used in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-110-NotUniqueName.csv for details
2-110-AlreadyExistName.csv,2-110,Name have already used value in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-110-AlreadyExistName.csv for details
2-111-MissColumnName.csv,2-111,Missing Mandatory Columns Name in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnName.csv for details
2-112-CostsAreCapitalChargesWrongType.csv,2-112,Incorrect type for CostsAreCapitalCharges in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-112-CostsAreCapitalChargesWrongType.csv for details
2-111-MissColumnActionFamilyCostsByRatingLevel.csv,2-111,Missing Mandatory Columns ActionFamily in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnActionFamilyCostsByRatingLevel.csv for details
2-111-MissColumnRatingLevelCostsByRatingLevel.csv,2-111,Missing Mandatory Columns RatingLevel in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnRatingLevelCostsByRatingLevel.csv for details
2-111-MissColumnUnitPropertyCostsByRatingLevel.csv,2-111,Missing Mandatory Columns UnitProperty in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnUnitPropertyCostsByRatingLevel.csv for details
2-111-MissColumnValueCostsByRatingLevel.csv,2-111,Missing Mandatory Columns Value in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnValueCostsByRatingLevel.csv for details
2-110-NotExistingActionFamilyCostsByRatingLevel.csv,2-110,Reference ActionFamily in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv not existing. See 2-110-NotExistingActionFamilyCostsByRatingLevel.csv for details
2-113-UnitPropertyCostsByRatingLevelInvalidRange.csv,2-113,Incorrect range for UnitPropertyCostsByRatingLevel in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-113-UnitPropertyCostsByRatingLevelInvalidRange.csv for details
2-112-SupplierCostWrongType.csv,2-112,Incorrect type for SupplierCost in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-112-SupplierCostWrongType.csv for details
2-112-DurationWrongType.csv,2-112,Incorrect type for Duration in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-112-DurationWrongType.csv for details
2-112-IsLocalActionWrongType.csv,2-112,Incorrect type for IsLocalAction in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-112-IsLocalActionWrongType.csv for details
2-112-NeedsOutageWrongType.csv,2-112,Incorrect type for NeedsOutage in asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. See 2-112-NeedsOutageWrongType.csv for details
2-111-MissColumnActionFamilyBudgetCategories.csv,2-111,Missing Mandatory Columns ActionFamily in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnActionFamilyBudgetCategories.csv for details
2-111-MissColumnIndexBudgetCategories.csv,2-111,Missing Mandatory Columns Index in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnIndexBudgetCategories.csv for details
2-111-MissColumnValueBudgetCategories.csv,2-111,Missing Mandatory Columns Value in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv. Open 2-111-MissColumnValueBudgetCategories.csv for details
2-110-NotExistingActionFamilyBudgetCategories.csv,2-110,Reference ActionFamily in file asset-integration-accelerator-input/ActivitiesManagement/Create/ActionFamilies.csv not existing. See 2-110-NotExistingActionFamilyBudgetCategories.csv for details
